Date,Sale_Count,Median_Sale_Value
4/1/2016,78.9921875,194065.7805
4/1/2017,83.02362205,211624.6339
4/1/2018,84.859375,210415.1445
4/1/2019,86.21875,222617.1953
4/1/2020,80.578125,243615.2383
4/1/2022,92.61538462,313084.8308
4/1/2023,64.97637795,316800.6378
8/1/2016,91.0703125,209099.8047
8/1/2017,93.03125,212091.8359
8/1/2018,94.0234375,219646.2813
8/1/2019,95.47692308,231823.0692
8/1/2020,106.4045802,253664.8435
8/1/2021,115.2125984,285040.685
8/1/2022,92.07086614,308095.9449
8/1/2023,73.30232558,341873.9147
12/1/2016,71,199408.1299
12/1/2017,71.84251969,208922
12/1/2018,67.17322835,219217.1535
12/1/2019,75.79527559,243603.0551
12/1/2020,99.86614173,264379.752
12/1/2021,92.63846154,305257.85
12/1/2022,58.53125,315526.25
12/1/2023,54.1328125,325351.3828
2/1/2016,50.6875,182094.3574
2/1/2017,53.584,198184.83
2/1/2018,55.41269841,207870.004
2/1/2019,56.65873016,219475.6984
2/1/2020,60.5625,224248.2109
2/1/2022,64.2109375,294443.4688
2/1/2023,51.22047244,303049.1535
1/1/2016,46.65873016,189552.0119
1/1/2017,50.14728682,197280.0116
1/1/2018,50.99224806,215722.8295
1/1/2019,52.21428571,214411.377
1/1/2020,54.15384615,221993.2577
1/1/2023,44.872,300104.092
7/1/2016,89.68503937,206065.3189
7/1/2017,90.8671875,223098.9648
7/1/2018,97.79844961,220642.9612
7/1/2019,102.0697674,231791.8295
7/1/2021,114.8604651,288230.2674
7/1/2022,87.27692308,314298.4923
6/1/2016,104.3333333,208685.5754
6/1/2017,108.3769231,208245.0077
6/1/2018,108.265625,226692.043
6/1/2019,104.6484375,244757.2656
6/1/2020,103.8449612,240552.8915
6/1/2021,127.1692308,286942.3846
6/1/2023,85.20930233,332762.1395
3/1/2016,66.52713178,182290.3333
3/1/2017,80.11290323,199704.1935
3/1/2018,77.06976744,204017.0194
3/1/2019,78.5,221997.8532
3/1/2020,84.9047619,232304.7937
3/1/2022,89.8046875,303817.0859
3/1/2023,67.50387597,321243.1705
5/1/2016,90.46511628,202588.1202
5/1/2017,97.13846154,202823.0769
5/1/2018,97.6,212764.0923
5/1/2019,103.379845,229452.5969
5/1/2020,84.776,241347.656
5/1/2021,109.7076923,287580.9808
5/1/2022,101.1472868,315754.5543
5/1/2023,79.78294574,331314.1395
11/1/2016,67.36220472,197976.2913
11/1/2017,70.46511628,205878.7636
11/1/2018,72.41269841,223590.2222
11/1/2019,70.3875969,222037.2558
11/1/2020,90.69767442,268107.5116
11/1/2021,95.54330709,292775.7953
11/1/2022,60.0078125,303913.6445
11/1/2023,54.28125,324663.1953
10/1/2016,67.68181818,195863.557
10/1/2017,75.50769231,220470.4923
10/1/2018,76.48031496,213657.8976
10/1/2019,82.50387597,225561.7481
10/1/2020,106.9527559,262329.9449
10/1/2021,98.875,283579.4883
10/1/2022,68.42635659,311688.8217
10/1/2023,60.65625,328599.375
9/1/2016,79.63492063,199593.3095
9/1/2017,77.8828125,206540.7603
9/1/2018,70.18604651,214747.5
9/1/2019,80.83464567,226680.2362
9/1/2020,104,258596.8692
9/1/2021,104.2047244,284160.3268
9/1/2022,79.28346457,305636.3858
9/1/2023,61.71538462,327606.9923
3/1/2021,93.62307692,273704.0269
