Month,Year,Sale_Count,Median_Sale_Value
 Apr,2016,78.9921875,194065.780546875
 Apr,2017,83.02362204724409,211624.6338582677
 Apr,2018,84.859375,210415.14453125
 Apr,2019,86.21875,222617.1953125
 Apr,2020,80.578125,243615.23828125
 Apr,2022,92.61538461538461,313084.8307692308
 Apr,2023,64.97637795275591,316800.6377952756
 Aug,2016,91.0703125,209099.8046875
 Aug,2017,93.03125,212091.8359375
 Aug,2018,94.0234375,219646.28125
 Aug,2019,95.47692307692307,231823.06923076924
 Aug,2020,106.40458015267176,253664.8435114504
 Aug,2021,115.21259842519684,285040.6850393701
 Aug,2022,92.07086614173228,308095.94488188974
 Aug,2023,73.30232558139535,341873.9147286822
 Dec,2016,71.0,199408.12992125985
 Dec,2017,71.84251968503936,208922.0
 Dec,2018,67.1732283464567,219217.1535433071
 Dec,2019,75.79527559055119,243603.05511811023
 Dec,2020,99.86614173228347,264379.75196850393
 Dec,2021,92.63846153846154,305257.85
 Dec,2022,58.53125,315526.25
 Dec,2023,54.1328125,325351.3828125
 Feb,2016,50.6875,182094.357421875
 Feb,2017,53.584,198184.83
 Feb,2018,55.41269841269841,207870.00396825396
 Feb,2019,56.65873015873016,219475.6984126984
 Feb,2020,60.5625,224248.2109375
 Feb,2022,64.2109375,294443.46875
 Feb,2023,51.22047244094488,303049.1535433071
 Jan,2016,46.65873015873016,189552.0119047619
 Jan,2017,50.14728682170543,197280.01162790696
 Jan,2018,50.992248062015506,215722.82945736434
 Jan,2019,52.214285714285715,214411.37698412698
 Jan,2020,54.15384615384615,221993.2576923077
 Jan,2023,44.872,300104.092
 Jul,2016,89.68503937007874,206065.3188976378
 Jul,2017,90.8671875,223098.96484375
 Jul,2018,97.7984496124031,220642.96124031008
 Jul,2019,102.06976744186046,231791.82945736434
 Jul,2021,114.86046511627907,288230.26744186046
 Jul,2022,87.27692307692308,314298.4923076923
 Jun,2016,104.33333333333333,208685.57539682538
 Jun,2017,108.37692307692308,208245.0076923077
 Jun,2018,108.265625,226692.04296875
 Jun,2019,104.6484375,244757.265625
 Jun,2020,103.84496124031008,240552.8914728682
 Jun,2021,127.16923076923077,286942.3846153846
 Jun,2023,85.20930232558139,332762.1395348837
 Mar,2016,66.52713178294573,182290.33333333334
 Mar,2017,80.11290322580645,199704.1935483871
 Mar,2018,77.06976744186046,204017.01937984495
 Mar,2019,78.5,221997.85317460317
 Mar,2020,84.9047619047619,232304.79365079364
 Mar,2022,89.8046875,303817.0859375
 Mar,2023,67.50387596899225,321243.17054263566
 May,2016,90.46511627906976,202588.12015503875
 May,2017,97.13846153846154,202823.07692307694
 May,2018,97.6,212764.0923076923
 May,2019,103.37984496124031,229452.5968992248
 May,2020,84.776,241347.656
 May,2021,109.70769230769231,287580.98076923075
 May,2022,101.14728682170542,315754.55426356586
 May,2023,79.78294573643412,331314.1395348837
 Nov,2016,67.36220472440945,197976.29133858267
 Nov,2017,70.46511627906976,205878.76356589148
 Nov,2018,72.41269841269842,223590.22222222222
 Nov,2019,70.3875968992248,222037.2558139535
 Nov,2020,90.69767441860465,268107.511627907
 Nov,2021,95.54330708661418,292775.79527559056
 Nov,2022,60.0078125,303913.64453125
 Nov,2023,54.28125,324663.1953125
 Oct,2016,67.68181818181819,195863.55696969698
 Oct,2017,75.50769230769231,220470.4923076923
 Oct,2018,76.48031496062993,213657.89763779528
 Oct,2019,82.50387596899225,225561.7480620155
 Oct,2020,106.95275590551181,262329.94488188974
 Oct,2021,98.875,283579.48828125
 Oct,2022,68.42635658914729,311688.8217054264
 Oct,2023,60.65625,328599.375
 Sep,2016,79.63492063492063,199593.30952380953
 Sep,2017,77.8828125,206540.7602734375
 Sep,2018,70.18604651162791,214747.5
 Sep,2019,80.83464566929133,226680.23622047243
 Sep,2020,104.0,258596.86923076923
 Sep,2021,104.20472440944881,284160.32677165355
 Sep,2022,79.28346456692914,305636.3858267717
 Sep,2023,61.715384615384615,327606.9923076923
Mar,2021,93.62307692307692,273704.02692307695
